timestamp,ip_address,username,endpoint,user_agent,status_code,country,response_time,device_id,is_malicious,campaign_id,attack_type
2026-09-23 08:00:00,192.168.21.103,karen@techhub.io,/api/v1/auth/login,Chrome_120,200,US,157,dev_31538,0,benign,benign
2026-09-23 08:00:00,192.168.35.210,hannah@example.com,/login,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",200,CA,156,dev_35624,0,benign,benign
2026-09-23 08:00:00,192.168.10.170,marcus149@example.com,/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/122.0.2365.52",200,US,214,dev_76301,0,benign,benign
2026-09-23 08:00:01,192.168.30.160,brian@techhub.io,/api/v1/auth/login,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",200,JP,101,dev_44446,0,benign,benign
2026-09-23 08:00:01,192.168.23.32,julia742@techhub.io,/login,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",200,IN,71,dev_27041,0,benign,benign
2026-09-23 08:00:01,192.168.23.159,aravind964@cloudsec.org,/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",200,US,159,dev_12116,0,benign,benign
2026-09-23 08:00:02,192.168.35.189,ian@techhub.io,/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/122.0.2365.52",200,GB,113,dev_54353,0,benign,benign
2026-09-23 08:00:03,172.16.28.138,grace@mailservice.net,/api/v1/auth/login,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",200,DE,112,dev_29365,0,benign,benign
2026-09-23 08:00:03,192.168.12.168,george@techhub.io,/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,200,GB,162,dev_29844,0,benign,benign
2026-09-23 08:00:07,192.168.16.209,karen100@cloudsec.org,/api/v1/auth/login,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",200,DE,106,dev_42649,0,benign,benign
